2023-09-16T15:09:02.633+0530 [INFO]  provider: configuring client automatic mTLS
2023-09-16T15:09:03.160+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_autoscaling_group timestamp=2023-09-16T15:09:03.159+0530
2023-09-16T15:09:03.160+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_dynamodb_table_replica timestamp=2023-09-16T15:09:03.160+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_ec2_managed_prefix_list tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2023-09-16T15:09:03.160+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_ivs_channel tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_macie2_classification_export_configuration tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_neptune_parameter_group @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_mux_provider=*schema.GRPCProviderServer tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_acmpca_policy tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_appconfig_configuration_profile tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_apigatewayv2_model tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.161+0530
2023-09-16T15:09:03.161+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_resource_type=aws_iam_group_policy tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.161+0530
